               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.021983,            0.028526,           0.0013182,             0.86385,             0.86085,              0.8985,             0.65785,            0.018659,            0.015446,          0.00065112,           0.0044725,           0.0044725,           0.0044725
                  69,            0.021955,            0.028051,           0.0014153,             0.86487,             0.85847,             0.89793,             0.65957,            0.018684,            0.015486,          0.00061548,             0.00439,             0.00439,             0.00439
                  70,            0.022159,            0.028515,           0.0013328,              0.8754,             0.85661,             0.89552,                0.66,            0.018681,            0.015498,          0.00060784,           0.0043075,           0.0043075,           0.0043075
                  71,            0.021793,            0.028072,            0.001363,             0.87888,             0.85716,             0.89669,              0.6608,            0.018726,            0.015451,          0.00061091,            0.004225,            0.004225,            0.004225
                  72,            0.021976,             0.02837,           0.0012853,             0.88517,             0.85116,              0.8973,             0.66349,             0.01873,            0.015352,          0.00060233,           0.0041425,           0.0041425,           0.0041425
                  73,            0.021434,            0.027868,           0.0012169,             0.87238,             0.86444,             0.89807,             0.66484,            0.018706,            0.015304,          0.00058123,             0.00406,             0.00406,             0.00406
                  74,            0.021766,              0.0281,           0.0012703,              0.8592,             0.87134,             0.89971,             0.66626,            0.018693,            0.015277,           0.0005948,           0.0039775,           0.0039775,           0.0039775
                  75,             0.02136,            0.027733,           0.0012169,             0.85727,              0.8756,             0.90286,             0.66588,            0.018722,            0.015204,          0.00061845,            0.003895,            0.003895,            0.003895
                  76,            0.021611,              0.0272,           0.0012129,             0.85964,             0.87153,             0.90462,              0.6641,            0.018725,            0.015172,          0.00060934,           0.0038125,           0.0038125,           0.0038125
                  77,            0.021184,            0.027311,           0.0011364,             0.86171,             0.87183,             0.90514,             0.66693,            0.018726,            0.015121,          0.00059042,             0.00373,             0.00373,             0.00373
                  78,            0.021369,            0.027405,           0.0012281,             0.86662,             0.86616,             0.90252,              0.6653,            0.018695,            0.015129,          0.00059308,           0.0036475,           0.0036475,           0.0036475
                  79,            0.021195,            0.027713,           0.0012488,             0.87726,              0.8668,             0.90654,             0.66621,            0.018621,            0.015142,          0.00057065,            0.003565,            0.003565,            0.003565
